1085k  180.105.209.133:9981
1082k  49.82.105.208:8000
1082k  114.233.64.137:4022
1054k  49.67.12.229:8888
985k  58.212.239.236:10001
934k  58.213.175.48:8888
799k  49.74.205.217:8888
708k  114.221.44.254:8888
680k  180.109.222.11:8888
569k  121.229.146.229:8888
537k  121.233.173.65:8800
527k  121.226.124.164:9999
362k  114.233.189.170:8887
345k  49.76.136.34:8800
332k  180.111.31.174:8888
266k  180.120.59.241:55555
263k  121.226.125.46:7777
186k  49.71.31.71:8888
132k  58.213.175.194:8888
116k  180.105.84.218:4000
