1099k  115.192.164.187:4022
1094k  125.119.80.247:8888
1084k  183.156.2.12:9999
1041k  60.178.238.107:888
863k  36.25.150.238:8888
725k  183.128.69.3:4022
584k  125.118.53.150:8000
548k  60.177.235.185:55555
466k  183.133.107.21:8899
400k  122.233.169.5:8888
349k  36.24.206.251:8888
333k  115.207.212.107:8888
328k  125.118.69.212:4022
308k  183.133.107.156:8899
293k  115.207.173.98:8888
287k  115.230.185.231:9999
220k  115.230.180.95:9999
178k  183.143.52.7:8888
178k  115.207.173.120:8888
149k  115.205.26.133:8888
145k  60.178.151.153:4022
